"GBSid","PH","LW","FT"
226,184.4,33.4,52
5339,122.9,25.55,58
2291,177.6,30.1,67
1471,137.4,37.8,57
2829,91.6,16.8,57
2311,164,33,57
4062,193.4,28.25,75
1752,83,17.8,51
737,153,27.8,53
4523,158,29.5,64
4604,168.6,27.2,61
5958,143.6,17.79,43
266,160.4,26.2,67
4780,143.6,27.87,75
3063,140,28,51
3331,158.84,23.78,60
4726,164.25,45.5,79
3222,125,34.5,48
3570,176.4,39.9,62
1076,192.1,27,67
2392,155,22.4,69
2666,115,13.1,77
4727,169,26.55,72
2499,142.7,28.8,56
6048,172.4285714,23,82
4984,143.53,25.53,56
4746,204.96,36.27,71
1243,148.7,34,52
1163,143,33.88,59
3439,145.4,27.9,48
5248,196.2,25.3,57
1312,151.4,40,78
5146,134.4,34.7,69
509,162.1,33.95,65
1313,136,35.4,64
96,143.9,26,64
2136,197.2,32.3,64
1215,150.2,26.9,53
2474,173.6,36.5,55
2309,181.8,38.3,60
4838,156,28.6,61
3038,134.75,29.35,55
3361,189.4,23.8,52
1233,179.4,31.9,75
4462,178.3,23.3,61
332,123,25.6,61
1541,149,27.64,57
1598,163.6,28.9,59
4291,156.5,33.51,59
1578,119.5,33.4,55
2604,104.5,35.3,41
997,131.2,33.8,56
3382,122.2,29,38
797,145,23,75
5624,82,19.3,70
4483,141.9,35.6,74
4372,179.7,44.8,66
2707,113.86,24.86,53
5370,169.8,33.6,68
344,103,27.2,49
3914,188.4,28.34,61
3352,121,21.93333333,52
6032,210.2,22.65,87
1651,159,27.4,85
2861,152.2,23,53
492,279.4,43,70
618,138,24.3,58
3342,132.78,21.72,58
1308,178.8,30.6,68
4532,145.1,20.9,71
3429,151,28.9,54
3267,214.4,28,53
3903,139.3,33.6,72
3354,105.8,10.31578947,28
1999,162,28.2,69
4260,134.2,32.1,71
1438,172,32.75,64
4565,156.8,28.2,65
4749,181.3,32.6,62
734,117.7,25.2,47
640,158.4,25.9,63
1020,158.4,31.3,71
380,159,25,64
1453,209.2,34.7,73
2867,116,27.1,67
2590,109.9,36,41
585,119.2,17.5,39
4735,204.5,32.8,61
92,121.4,25.3,65
4533,154.7,23.4,62
4869,164,33,68
4309,153.7,24.65,73
3277,137.4266667,30.93333333,58
1683,113,15.8,45
1690,128.4,22.1,NA
2819,133.8,20.4,69
1336,139.8,24.1,66
5953,132.5,21.4,48
4484,197.4,28,62
2128,142.9,26.3,50
3255,200.6,27.2,64
1765,120,22.2,70
5447,151.8,38.73,34
2513,174,19.2,65
2641,120,10,73
4658,164.8,32.8,58
1955,152,17,48
537,163.2,20.7,53
2651,96,15.4,78
4442,131,24.45,71
3620,159.53,33.12,58
4471,108.4,22.4,65
1652,124,22.6,59
2030,154.98,24.54,64
253,174.4,39.8,49
5588,139.9,34.3,34
4972,145.8,26.87,54
3656,210.2,33.68,63
5583,152,33.5,93
3530,25.5,13.3,45
804,110,15,90
4894,134.6,26.4,64
3731,177,26.84,59
5231,178.4,32.5,73
2945,136.3,29.85,48
4320,186.055,34.76,63
2723,122,13.7,71
1852,128.5,19.55,52
4,136,32.2,62
3346,132.2,24.7,51
1118,167,21.3,59
5064,151.8,19.4,70
